"Theta [deg]","dB(RealizedGainTotal) [] - Freq='3.2GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal)_1 [] - Freq='3.2GHz' Theta='90deg'"
152,-6.30864695783007,2.63915563021718
153,-6.67657968659898,2.61226054305192
154,-7.05344132191195,2.5859731863984
155,-7.43973391514992,2.5607428126766
156,-7.83621227200777,2.53697712054114
157,-8.24390468955996,2.51503457138762
158,-8.66413231164111,2.49521801533363
159,-9.09852869399271,2.47776980495825
160,-9.54906187660836,2.46286852850434
161,-10.0180620260109,2.45062743989815
162,-10.5082585745492,2.44109460383227
163,-11.0228318350886,2.43425471376736
164,-11.5654854600817,2.4300324826743
165,-12.1405480841128,2.42829745410106
166,-12.7531154029691,2.42887003764416
167,-13.4092483456859,2.43152854029509
168,-14.1162496953788,2.43601694465305
169,-14.8830516540977,2.442053176895
170,-15.7207618400414,2.44933761098936
171,-16.6434359449117,2.45756156946595
172,-17.669168399226,2.46641560307542
173,-18.8215949726967,2.47559735952462
174,-20.1317792997438,2.48481888271667
175,-21.6397690991272,2.49381321624899
176,-23.3919792003783,2.50234021632539
177,-25.4168834877018,2.51019150813379
178,-27.6072527122558,2.51719454501392
179,-29.3391143609099,2.52321575075075
180,-29.3556293633455,2.52816274188074
181,,2.53198563916781
182,,2.534677485877
183,,2.53627379584923
184,,2.5368512575128
185,,2.53652562178925
186,,2.53544880331996
187,,2.53380522649151
188,,2.53180745124314
189,,2.52969111936623
190,,2.52770927057733
191,,2.5261260894905
192,,2.52521015991039
193,,2.52522732148204
194,,2.52643324515729
195,,2.52906586723665
196,,2.5333378455323
197,,2.53942922364994
198,,2.54748050832636
199,,2.55758637780317
200,,2.56979024400048
201,,2.5840798857175
202,,2.60038435277558
203,,2.6185723113868
204,,2.63845195963237
205,,2.65977259053324
206,,2.68222782166593
207,,2.70546044837313
208,,2.72906881657171
209,,2.75261455519885
210,,2.77563146118748
211,,2.79763529432582
212,,2.81813421701251
213,,2.8366396050112
214,,2.85267695881273
215,,2.86579665906212
216,,2.87558433092744
217,,2.88167060818299
218,,2.88374011511009
219,,2.881539510423
220,,2.87488446026884
221,,2.86366542566812
222,,2.84785216314584
223,,2.82749684618419
224,,2.80273572072327
225,,2.77378921213999
226,,2.74096040636596
227,,2.7046318368213
228,,2.66526052449415
229,,2.62337124343716
230,,2.57954802028968
231,,2.53442392533425
232,,2.488669273901
233,,2.44297842881249
234,,2.39805547330502
235,,2.35459910388527
236,,2.3132871667195
237,,2.27476132130006
238,,2.23961235318043
239,,2.20836666655719
240,,2.18147446278678
241,,2.15930005126132
242,,2.14211464702257
243,,2.13009189150762
244,,2.12330619849515
245,,2.12173388818608
246,,2.12525694028844
247,,2.13366908263096
248,,2.1466838432949
249,,2.16394413626499
250,,2.18503292431776
251,,2.20948450623766
252,,2.23679600397088
253,,2.26643867299924
254,,2.29786871953554
255,,2.33053737488618
256,,2.36390004514401
257,,2.39742441907019
258,,2.43059747564668
259,,2.46293138352313
260,,2.49396832658947
261,,2.52328432304472
262,,2.55049212996989
263,,2.57524334221363
264,,2.59722980418784
