"Theta [deg]","dB(GainTotal) [] - Freq='2.9GHz' Phi='0deg'","dB(GainTotal) [] - Freq='2.9GHz' Phi='90.0000000000002deg'"
29,-7.45270874970862,8.23898947197032
30,-8.49145916852395,7.67801877379701
31,-8.19852156497109,7.09048139048227
32,-7.09860897028227,6.47521038897482
33,-5.85313486146329,5.83090217358656
34,-4.74885993420357,5.15609899650848
35,-3.85071780728644,4.44916993232997
36,-3.15103100431691,3.70829095925296
37,-2.62538588111773,2.93142554719747
38,-2.24891608274414,2.11630851830936
39,-2.0000841132025,1.26043838982914
40,-1.86087200203854,0.361087778255608
41,-1.81606381618007,-0.584650741640329
42,-1.85239343526261,-1.57975193922149
43,-1.9577579764111,-2.62702201170685
44,-2.12053416518531,-3.72863883664899
45,-2.32900216849627,-4.88529154281784
46,-2.57089358811389,-6.09461919406182
47,-2.83310963238251,-7.3484781579533
48,-3.10168745769316,-8.62843668050955
49,-3.36210950895927,-9.89917932460381
50,-3.60002673871561,-11.1012343379124
51,-3.80237747037833,-12.1490855497564
52,-3.95873176449413,-12.9464715538335
53,-4.06253327916275,-13.4249029654215
54,-4.11185016547997,-13.5829774716831
55,-4.10936337119616,-13.4873184270742
56,-4.06158439077858,-13.2340761888368
57,-3.97756173397224,-12.9097348504774
58,-3.86745990687248,-12.5749148164922
59,-3.74134017985658,-12.2658393923046
60,-3.6083153700536,-12.0015503423022
61,-3.47609540521652,-11.7905713385363
62,-3.35084586154484,-11.6354885307102
63,-3.23725208673666,-11.5357349588612
64,-3.13869303264861,-11.4891808747886
65,-3.05745609651725,-11.4930070640968
66,-2.99495127009995,-11.5441669539784
67,-2.95190335533113,-11.6396178854566
68,-2.92851418544118,-11.7764241331354
69,-2.92459422117672,-11.9517890538826
70,-2.93966648962605,-12.1630482024565
71,-2.97304716177042,-12.4076409864924
72,-3.02390718909521,-12.6830705209473
73,-3.0913189875085,-12.9868570031001
74,-3.17429152888283,-13.3164876179771
75,-3.27179655925001,-13.6693648409821
76,-3.38278808887954,-14.042754540822
77,-3.50621682002094,-14.4337352035197
78,-3.64104079356462,-14.8391496851886
79,-3.78623323567667,-15.2555609700329
80,-3.94078835555633,-15.679213270012
81,-4.10372567202111,-16.1059992662256
82,-4.27409331746821,-16.5314332276884
83,-4.45097067275077,-16.9506281859539
84,-4.63347061739408,-17.3582736628609
85,-4.82074162968966,-17.7486095294819
86,-5.01196993506408,-18.1153929189772
87,-5.20638187410911,-18.4518606772647
88,-5.40324663973336,-18.7507013500405
89,-5.60187951238118,-19.0040683120829
90,-5.80164569975143,-19.2036858260049
91,-6.00196485977045,-19.3411133851937
92,-6.20231634989756,-19.4082258418479
93,-6.4022451998485,-19.3979224387624
94,-6.60136874696781,-19.3049940523041
95,-6.79938380329075,-19.1269786384116
96,-6.99607414168537,-18.8647721125032
97,-7.19131799775326,-18.522788928166
98,-7.38509518829525,-18.1085928585575
99,-7.57749335122575,-17.6320880754129
100,-7.76871272154193,-17.1044862283893
101,-7.95906877867727,-16.5372915320025
102,-8.14899203617632,-15.9414824747046
103,-8.33902419640614,-15.3269682663789
104,-8.52980985882439,-14.7023116376168
105,-8.72208294437598,-14.074660701134
